tempo,ax,ay,az,acao
508.0,-4.83,6.96,-4.32,bebendo
510.0,-4.85,6.94,-4.38,bebendo
512.0,-5.0,6.87,-4.34,bebendo
514.0,-4.92,6.84,-4.42,bebendo
516.0,-4.96,6.84,-4.33,bebendo
518.0,-4.91,6.9,-4.38,bebendo
520.0,-4.9,6.9,-4.35,bebendo
522.0,-4.95,6.87,-4.4,bebendo
524.0,-4.93,6.87,-4.4,bebendo
526.0,-4.94,6.89,-4.34,bebendo
528.0,-4.9,6.87,-4.38,bebendo
530.0,-4.92,6.91,-4.36,bebendo
532.0,-4.95,6.87,-4.38,bebendo
534.0,-4.94,6.87,-4.37,bebendo
536.0,-4.91,6.88,-4.36,bebendo
538.0,-4.9,6.89,-4.37,bebendo
540.0,-4.94,6.89,-4.37,bebendo
542.0,-4.93,6.89,-4.39,bebendo
544.0,-4.93,6.89,-4.36,bebendo
546.0,-4.9,6.85,-4.42,bebendo
548.0,-4.93,6.89,-4.36,bebendo
550.0,-4.96,6.88,-4.37,bebendo
552.0,-4.93,6.88,-4.36,bebendo
554.0,-4.93,6.88,-4.37,bebendo
556.0,-4.93,6.88,-4.39,bebendo
558.0,-4.9,6.87,-4.4,bebendo
560.0,-4.95,6.89,-4.36,bebendo
562.0,-4.93,6.87,-4.39,bebendo
564.0,-4.91,6.88,-4.37,bebendo
566.0,-4.9,6.9,-4.39,bebendo
568.0,-4.92,6.88,-4.32,bebendo
570.0,-4.94,6.9,-4.36,bebendo
572.0,-4.92,6.9,-4.36,bebendo
574.0,-4.91,6.86,-4.4,bebendo
576.0,-4.93,6.88,-4.34,bebendo
578.0,-4.92,6.88,-4.42,bebendo
580.0,-4.93,6.87,-4.38,bebendo
582.0,-4.91,6.86,-4.4,bebendo
584.0,-4.92,6.89,-4.38,bebendo
586.0,-4.93,6.89,-4.36,bebendo
588.0,-4.93,6.88,-4.39,bebendo
590.0,-4.92,6.87,-4.35,bebendo
592.0,-4.92,6.87,-4.38,bebendo
594.0,-4.94,6.9,-4.37,bebendo
596.0,-4.9,6.88,-4.38,bebendo
598.0,-4.93,6.89,-4.39,bebendo
600.0,-4.94,6.88,-4.4,bebendo
602.0,-4.91,6.89,-4.35,bebendo
604.0,-4.94,6.87,-4.38,bebendo
606.0,-4.93,6.9,-4.38,bebendo
608.0,-4.92,6.86,-4.41,bebendo
610.0,-4.94,6.89,-4.36,bebendo
612.0,-4.93,6.87,-4.39,bebendo
614.0,-4.93,6.89,-4.36,bebendo
616.0,-4.94,6.9,-4.4,bebendo
618.0,-4.94,6.88,-4.39,bebendo
620.0,-4.92,6.89,-4.38,bebendo
622.0,-4.91,6.88,-4.36,bebendo
624.0,-4.92,6.88,-4.39,bebendo
626.0,-4.93,6.88,-4.41,bebendo
628.0,-4.92,6.88,-4.4,bebendo
630.0,-4.93,6.89,-4.33,bebendo
632.0,-4.92,6.89,-4.35,bebendo
634.0,-4.93,6.89,-4.38,bebendo
636.0,-4.92,6.88,-4.37,bebendo
638.0,-4.94,6.86,-4.39,bebendo
640.0,-4.93,6.89,-4.38,bebendo
642.0,-4.92,6.87,-4.38,bebendo
644.0,-4.91,6.89,-4.35,bebendo
646.0,-4.92,6.89,-4.37,bebendo
648.0,-4.92,6.87,-4.35,bebendo
650.0,-4.94,6.88,-4.36,bebendo
652.0,-4.91,6.89,-4.39,bebendo
654.0,-4.92,6.86,-4.41,bebendo
656.0,-4.93,6.88,-4.36,bebendo
658.0,-4.92,6.88,-4.39,bebendo
660.0,-4.93,6.89,-4.35,bebendo
662.0,-4.92,6.88,-4.39,bebendo
664.0,-4.92,6.86,-4.4,bebendo
666.0,-4.92,6.89,-4.34,bebendo
668.0,-4.92,6.88,-4.34,bebendo
670.0,-4.93,6.89,-4.35,bebendo
672.0,-4.91,6.86,-4.38,bebendo
674.0,-4.95,6.88,-4.35,bebendo
676.0,-4.92,6.89,-4.36,bebendo
678.0,-4.91,6.89,-4.37,bebendo
680.0,-4.92,6.86,-4.4,bebendo
682.0,-4.94,6.88,-4.41,bebendo
684.0,-4.92,6.88,-4.35,bebendo
686.0,-4.94,6.88,-4.35,bebendo
688.0,-4.93,6.87,-4.36,bebendo
690.0,-4.93,6.87,-4.39,bebendo
692.0,-4.91,6.89,-4.39,bebendo
694.0,-4.92,6.89,-4.4,bebendo
696.0,-4.94,6.88,-4.35,bebendo
698.0,-4.93,6.87,-4.39,bebendo
700.0,-4.94,6.88,-4.39,bebendo
702.0,-4.93,6.89,-4.41,bebendo
704.0,-4.91,6.87,-4.36,bebendo
706.0,-4.94,6.88,-4.37,bebendo
708.0,-4.91,6.88,-4.39,bebendo
